"Waypoint","State","Code","Latitude","Longitude"
"BIDGEE 1","ACT","BIDG","352128S","1490056E"
"BIDGEE 2","ACT","BDGE","352659S","1490316E"
"BLACK MT","ACT","BKM","351630S","1490600E"
"CANBERRA RACECOURSE","ACT","RCSE","351418S","1490812E"
"COPPINS CROSSING","ACT","CPNG","351718S","1490236E"
"CORIN RESV","ACT","CVR","353230S","1485000E"
"COTTER","ACT","COTR","352017S","1485930E"
"HALL","ACT","HALL","351006S","1490406E"
"LAKE GININDERRA","ACT","LGDA","351400S","1490406E"
"MOUNT COREE","ACT","TCR","351830S","1484835E"
"MOUNT MUGGA","ACT","MTM","352115S","1490745E"
"MOUNT STROMLO","ACT","MUM","351900S","1490030E"
"MOUNT TAYLOR","ACT","MTLR","352224S","1490436E"
"THARWA","ACT","THAW","353030S","1490400E"
"TUGGERANONG TOWN CENTRE","ACT","TGC","352500S","1490400E"
